"Type.of.vehicle" "Single.Journey" "Return.Journey" "Monthly.Pass" "Local.Commercial.Vehicle" "tollbooth" "route" "concession" "Effective.Date" "Revision.Due.Date" "location" "Stretch" "Min.Road.Length" "Max.Road.Length" "funding.Model" "Capital.cost" "Commercial.Operation.Date" "Cumulative.Revenue" "Cumulative.Date" "Fee.Notification.Date" "Fee.Notification.No" "Design.Capacity" "Incharge" "Contractor" "Target.Traffic" "Target.Date" "Actual.Traffic" "Actual.Date" "Cumulative.Revenue.Discounted"
"22" "Car/Jeep/Van" 85 128 2560 NA " Durg Bypass (Dhamdanaka) ( BOT ) " 1 "Concessional fee for the multiple trips within a day
     and monthly pass for use of section continuously and frequently will be
     @1.5 times of single journey rates respectively." 2015-09-01 2016-08-31 " Durg Bypass (Dhamdanaka) ( BOT )  Km 312.780 - NH-53 (Old 5) in Chhattisgarh  " " Durg Bypass (Dhamdanaka)  " 18 "s) " "( BOT ) " 1062300000 2001-12-15 251600000 2013-11-30 2001-12-13 "Sr No. - )" 15000 "NA / 9009995006" "Ravindra Nath Pandey" NA 2001-01-01 15810 2013-11-30 FALSE
"23" "LCV" 149 224 4480 NA " Durg Bypass (Dhamdanaka) ( BOT ) " 1 "Concessional fee for the multiple trips within a day
     and monthly pass for use of section continuously and frequently will be
     @1.5 times of single journey rates respectively." 2015-09-01 2016-08-31 " Durg Bypass (Dhamdanaka) ( BOT )  Km 312.780 - NH-53 (Old 5) in Chhattisgarh  " " Durg Bypass (Dhamdanaka)  " 18 "s) " "( BOT ) " 1062300000 2001-12-15 251600000 2013-11-30 2001-12-13 "Sr No. - )" 15000 "NA / 9009995006" "Ravindra Nath Pandey" NA 2001-01-01 15810 2013-11-30 FALSE
"24" "Bus/Truck" 299 448 8960 NA " Durg Bypass (Dhamdanaka) ( BOT ) " 1 "Concessional fee for the multiple trips within a day
     and monthly pass for use of section continuously and frequently will be
     @1.5 times of single journey rates respectively." 2015-09-01 2016-08-31 " Durg Bypass (Dhamdanaka) ( BOT )  Km 312.780 - NH-53 (Old 5) in Chhattisgarh  " " Durg Bypass (Dhamdanaka)  " 18 "s) " "( BOT ) " 1062300000 2001-12-15 251600000 2013-11-30 2001-12-13 "Sr No. - )" 15000 "NA / 9009995006" "Ravindra Nath Pandey" NA 2001-01-01 15810 2013-11-30 FALSE
"25" "Upto 3 Axle Vehicle" 480 720 14400 NA " Durg Bypass (Dhamdanaka) ( BOT ) " 1 "Concessional fee for the multiple trips within a day
     and monthly pass for use of section continuously and frequently will be
     @1.5 times of single journey rates respectively." 2015-09-01 2016-08-31 " Durg Bypass (Dhamdanaka) ( BOT )  Km 312.780 - NH-53 (Old 5) in Chhattisgarh  " " Durg Bypass (Dhamdanaka)  " 18 "s) " "( BOT ) " 1062300000 2001-12-15 251600000 2013-11-30 2001-12-13 "Sr No. - )" 15000 "NA / 9009995006" "Ravindra Nath Pandey" NA 2001-01-01 15810 2013-11-30 FALSE
"26" "4 to 6 Axle" 480 720 14400 NA " Durg Bypass (Dhamdanaka) ( BOT ) " 1 "Concessional fee for the multiple trips within a day
     and monthly pass for use of section continuously and frequently will be
